	id	question	correctAnswer	answerA	answerB	answerC	answerD
569	569	Katelyn has heard that adrenaline (a hormone released during times of great excitement) can actually give a person greater physical strength.  She decides to perform an experiment measuring this idea.  She recruits 20 weightlifters and has them bench press as much as they can and records this value.  Two days later (to allow them to adequately rest) she has 10 of the weightlifters bungee jump off of a tall bridge to stimulate their adrenaline.  Immediately after the jump, she has the subjects repeat the bench press test and records her data.  The other 10 weightlifters repeat the bench press without jumping off of the bridge.  She records their data as well and compares her results.  Which of these is the independent variable for this experiment?	B	the amount the weightlifters can bench press after jumping	whether the weightlifters bungee jump off of the bridge	the amount the weightlifters can bench press before jumping	the number of weightlifters in the group
570	570	Which of these will reduce the gravitational force between two objects the most?	D	halving the distance between them	doubling the distance between them	halving the distance between them and doubling their mass	doubling the distance between them and halving their mass
571	571	Terrence notices that the rockets that he is launching fly at 27.9 meters per second at 78 degrees of elevation to the northwest before they start to fall.  Which of these quantities BEST shows what Terrence is describing?	B	acceleration	velocity	momentum	force
572	572	Scientists are concerned about the presence of heavy metals like lead and mercury in the environment because	A	heavy metals threaten some forms of life.	heavy metals will increase available resources.	exposure to heavy metals causes healthy mutations.	mining for heavy metals causes environmental stability.
573	573	When studying planetary data, Jackie found some similarities and differences among the planets that make up the solar system. Which generalization is true about the orbits of the major planets in the solar system?	B	Planetary orbits have the same plane.	Planetary orbits are mostly elliptical in shape.	Planets orbit at the same speed around the Sun.	Planets orbit in different directions around the Sun.
574	574	What particle always has a mass of one atomic mass unit (amu) and no charge?	A	a neutron	a proton	an electron	an atom
575	575	After a cell splits through the process of mitosis, _________ cells are the result.	C	zero	four	two	eight
576	576	Three different types of cone cells process color information in the human eye.  One type causes humans to see red, one causes humans to see green, and one causes humans to see blue.  Which cone cell types are activated when someone sees the color yellow?	B	cones that perceive green	cones that perceive red and green	cones that perceive red and blue	all three of the cone types
577	577	Which of the following would NOT cause a change in velocity?	B	The bus driver stops at the railroad tracks, but then continues in the same direction	The bus driver sees a green light up ahead so he does not have to slow down and he continues in the same direction	The bus driver has to make a right turn and he needs to slow down to do it	The bus driver is at a fork in the road and he has to go to the left slightly, but he is able to maintain a constant speed
578	578	The two primary processes involved in the cycling of carbon are photosynthesis and __________.	D	evaporation	decomposition	circulation	respiration
579	579	Nonspecific defenses against disease include the barrier of the skin and the inflammation response.  These defenses are called nonspecific because they __________.	D	are ineffective against specific pathogens	change the response depending on the invader's antigens	release several different kinds of immune cells	do not target antigens with antibodies
